"id","link","internalLevel","internalSubtype","quality","value","level","weaponPower","enchantDesc","maxCharges","setMaxEquipCount","setBonusDesc1","setBonusDesc2","traitDesc","icon","comment"
"876372","|H0:item:23662:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","1","0","2","-1","0","Deals |cffffff0|r Magic Damage and restores |cffffff0|r Health.","100","0","(2 items) Adds 1 Maximum Health","(3 items) Adds 1 Health Recovery","Increase weapon enchantment effect by |cffffff5|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/icon_missing.dds","?"
"876371","|H0:item:23662:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","0","1","2","-1","0","Deals |cffffff0|r Magic Damage and restores |cffffff0|r Health.","200","5","(2 items) Adds 1 Maximum Health","(3 items) Adds 1 Health Recovery","Increase weapon enchantment effect by |cffffff8|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/icon_missing.dds","?"
"876374","|H0:item:23662:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","1","0","6","1","184","Deals |cffffff3|r Magic Damage and restores |cffffff1|r Health.","100","5","(2 items) Adds 12 Maximum Health","(3 items) Adds 1 Health Recovery","Increase weapon enchantment effect by |cffffff5|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","dropped"
"877727","|H0:item:23662:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","177","0","10","1","198","Deals |cffffff3|r Magic Damage and restores |cffffff1|r Health.","100","5","(2 items) Adds 24 Maximum Health","(3 items) Adds 3 Health Recovery","Increase weapon enchantment effect by |cffffff5|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","unknown"
"876373","|H0:item:23662:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","0","1","6","1","184","Deals |cffffff0|r Magic Damage and restores |cffffff0|r Health.","200","2","(2 items) Adds 12 Maximum Health","(3 items) Adds 1 Health Recovery","Increase weapon enchantment effect by |cffffff8|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","?"
"877677","|H0:item:23662:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","175","1","6","1","184","Deals |cffffff80|r Magic Damage and restores |cffffff36|r Health.","200","5","(2 items) Adds 12 Maximum Health","(3 items) Adds 1 Health Recovery","Increase weapon enchantment effect by |cffffff8|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","unknown"
"876375","|H0:item:23662:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","2","1","10","1","198","Deals |cffffff80|r Magic Damage and restores |cffffff36|r Health.","200","3","(2 items) Adds 24 Maximum Health","(3 items) Adds 3 Health Recovery","Increase weapon enchantment effect by |cffffff8|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","dropped"
"877174","|H0:item:23662:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","25","1","14","1","212","Deals |cffffff80|r Magic Damage and restores |cffffff36|r Health.","200","5","(2 items) Adds 37 Maximum Health","(3 items) Adds 4 Health Recovery","Increase weapon enchantment effect by |cffffff8|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","crafted"
"876924","|H0:item:23662:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","20","1","16","1","226","Deals |cffffff80|r Magic Damage and restores |cffffff36|r Health.","200","5","(2 items) Adds 49 Maximum Health","(3 items) Adds 6 Health Recovery","Increase weapon enchantment effect by |cffffff8|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","crafted"
"877427","|H0:item:23662:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","121","2","6","1","184","Deals |cffffff86|r Magic Damage and restores |cffffff39|r Health.","250","5","(2 items) Adds 12 Maximum Health","(3 items) Adds 1 Health Recovery","Increase weapon enchantment effect by |cffffff11|r% and reduces enchantment cooldown by |cFFFFFF40|r%.","/esoui/art/icons/gear_breton_2haxe_a.dds","unknown"
